web-scraper-order,web-scraper-start-url,categories,categories-href,openindiv,openindiv-href,pricinglink,pricinglink-href,Current_Price,Depreciation,Down_Payment,Installment,Road_Tax,OMV,ARF,VES,Vehicle Name,specslink,specslink-href,eng_cap,engine_type,top_speed,Fuel_consumption,tank_cap,veh_type,featureslink,featureslink-href,KeylessEntry,AutoWipers,AutoHeadlights,PaddleShift,ElectricPBrake,SmartKey,RemoteBoot,ElectricSeat,ReverseCam,Power
"1600874080-531","https://www.sgcarmart.com/new_cars/index.php","Bentley","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Bentley","Bentley Mulsanne","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=10840","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=10840","null","-","-","-","$8,252 /yr","-","-","-","Bentley Mulsanne","6.75 Speed (A)","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=10840&Subcode=6792","6,750 cc","V8 Twin-turbocharged","305 km/h","6.8 km/L","96 L","Luxury Sedan","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=10840&Subcode=6792","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","395kW (530 bhp)"
"1600874444-578","https://www.sgcarmart.com/new_cars/index.php","Aston Martin","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Aston+Martin","Aston Martin DB11 Volante","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12303","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12303","null","null","null","null","null","null","null","null","Aston Martin DB11 Volante","null","","","","","","","","","","","","","","","","","","",""
"1600872379-328","https://www.sgcarmart.com/new_cars/index.php","Lexus","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Lexus","Lexus LS","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12243","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12243","null","null","null","null","null","null","null","null","Lexus LS","null","","","","","","","","","","","","","","","","","","",""
"1600872624-366","https://www.sgcarmart.com/new_cars/index.php","Kia","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Kia","Kia Cerato","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12334","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12334","$100,999","$9,100 /yr","$30,300 (Maximum 70% loan)","$1,005 /mth","$738 /yr","$19,063","$19,063","$0","Kia Cerato","1.6 GT Line (A)","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12334&Subcode=6894","1,591 cc","Gamma 1.6 MPi","195 km/h","15.1 km/L","50 L","Sedan","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12334&Subcode=6894","Yes","No","Yes","Yes","No","Yes","Yes","null","Yes","94kW (126 bhp)"
"1600871774-236","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz C-Class Saloon Mild Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12508","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12508","null","null","null","null","null","null","null","null","Mercedes-Benz C-Class Saloon Mild Hybrid","null","","","","","","","","","","","","","","","","","","",""
"1600872922-405","https://www.sgcarmart.com/new_cars/index.php","Honda","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Honda","Honda Accord","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12518","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12518","null","null","null","null","null","null","null","null","Honda Accord","null","","","","","","","","","","","","","","","","","","",""
"1600873654-483","https://www.sgcarmart.com/new_cars/index.php","BMW ALPINA","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW+ALPINA","BMW ALPINA D5 S Bi-Turbo Saloon Diesel","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12514","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12514","null","null","null","null","null","null","null","null","BMW ALPINA D5 S Bi-Turbo Saloon Diesel","null","","","","","","","","","","","","","","","","","","",""
"1600872804-390","https://www.sgcarmart.com/new_cars/index.php","Hyundai","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Hyundai","Hyundai Tucson","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12364","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12364","$130,999","$11,900 /yr","$52,400 (Maximum 60% loan)","$1,118 /mth","$738 /yr","$23,500","$24,900","$10,000 (Surcharge)","Hyundai Tucson","1.6 Turbo 'S' Sunroof (A)","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12364&Subcode=6597","1,591 cc","4-cylinder in-line 16-valve DOHC Turbocharged","201 km/h","14.1 km/L","62 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12364&Subcode=6597","Yes","No","Yes","No","Yes","Yes","Yes","null","Yes","130kW (175 bhp)"
"1600871915-260","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz GLC-Class Coupe Mild Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12628","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12628","null","null","null","null","null","null","null","null","Mercedes-Benz GLC-Class Coupe Mild Hybrid(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
"1600870384-24","https://www.sgcarmart.com/new_cars/index.php","Volkswagen","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Volkswagen","Volkswagen Golf","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11262","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11262","null","null","null","null","null","null","null","null","Volkswagen Golf","null","","","","","","","","","","","","","","","","","","",""
"1600871009-124","https://www.sgcarmart.com/new_cars/index.php","SEAT","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=SEAT","SEAT Arona","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12210","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12210","null","null","null","null","null","null","null","null","SEAT Arona","null","","","","","","","","","","","","","","","","","","",""
"1600873865-509","https://www.sgcarmart.com/new_cars/index.php","BMW","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW","BMW X6","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12619","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12619","null","null","null","null","null","null","null","null","BMW X6","null","","","","","","","","","","","","","","","","","","",""
"1600872674-374","https://www.sgcarmart.com/new_cars/index.php","Jaguar","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Jaguar","Jaguar F-TYPE Coupe","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11463","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11463","null","null","null","null","null","null","null","null","Jaguar F-TYPE Coupe","null","","","","","","","","","","","","","","","","","","",""
"1600871660-217","https://www.sgcarmart.com/new_cars/index.php","MINI","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=MINI","MINI One Clubman","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12659","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12659","null","null","null","null","null","null","null","null","MINI One Clubman","null","","","","","","","","","","","","","","","","","","",""
"1600872632-367","https://www.sgcarmart.com/new_cars/index.php","Jeep","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Jeep","Jeep Gladiator","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12632","Photos","https://www.sgcarmart.com/new_cars/newcars_photos.php?CarCode=12632","null","","null","null","null","null","null","null","Jeep Gladiator","null","","","","","","","","","","","","","","","","","","",""
"1600873124-427","https://www.sgcarmart.com/new_cars/index.php","Golden Dragon","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Golden+Dragon","Golden Dragon XML6957","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=10987","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=10987","null","null","null","null","null","null","null","null","Golden Dragon XML6957","null","","","","","","","","","","","","","","","","","","",""
"1600872650-370","https://www.sgcarmart.com/new_cars/index.php","Jeep","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Jeep","Jeep Wrangler Sahara 4-Door","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12431","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12431","null","null","null","null","null","null","null","null","Jeep Wrangler Sahara 4-Door","null","","","","","","","","","","","","","","","","","","",""
"1600872358-324","https://www.sgcarmart.com/new_cars/index.php","Lexus","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Lexus","Lexus RX 350","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11828","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11828","null","null","null","null","null","null","null","null","Lexus RX 350","null","","","","","","","","","","","","","","","","","","",""
"1600870770-88","https://www.sgcarmart.com/new_cars/index.php","Suzuki","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Suzuki","Suzuki Swift Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12114","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12114","null","null","null","null","null","null","null","null","Suzuki Swift Hybrid(Parallel Imported)","null","","","","","","","","","","","","","","","","","","",""
