web-scraper-order,web-scraper-start-url,categories,categories-href,openindiv,openindiv-href,pricinglink,pricinglink-href,Current_Price,Depreciation,Down_Payment,Installment,Road_Tax,OMV,ARF,VES,Vehicle Name,specslink,specslink-href,eng_cap,engine_type,top_speed,Fuel_consumption,tank_cap,veh_type,featureslink,featureslink-href,KeylessEntry,AutoWipers,AutoHeadlights,PaddleShift,ElectricPBrake,SmartKey,RemoteBoot,ElectricSeat,ReverseCam,Power
"1601047333-437","https://www.sgcarmart.com/new_cars/index.php","Ferrari","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Ferrari","Ferrari 812 Superfast","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12126","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12126","$1,420,000","-","-","-","$7,854 /yr","$454,730","$790,514","$20,000 (Surcharge)","Ferrari 812 Superfast","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12126","6,496 cc","V12","340 km/h","6.8 km/L","92 L","Sports","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12126&Subcode=5849","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","588kW (789 bhp)"
"1601041764-139","https://www.sgcarmart.com/new_cars/index.php","Renault","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Renault","Renault Kangoo Z.E. Electric","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12290","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12290","$105,800","-","$10,580 (Maximum 90% loan)","$1,354 /mth","-","-","-","-","Renault Kangoo Z.E. Electric","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12290","unknown","Synchronous with wound-rotor","130 km/h","unknown","unknown","Commercial","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12290&Subcode=6401","No","No","No","No","No","No","No","null","No","44kW (59 bhp)"
"1601044490-256","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz E-Class Coupe","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12080","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12080","null","null","null","null","null","null","null","null","Mercedes-Benz E-Class Coupe(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12080","1,991 cc","4-cylinder in-line 16-valve Turbocharged","240 km/h","14.7 km/L","66 L","Sports","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12080&Subcode=6543","Yes","Yes","Yes","Yes","Yes","Yes","Yes","null","Yes","137kW (184 bhp)"
"1601048272-491","https://www.sgcarmart.com/new_cars/index.php","BMW","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW","BMW X5 Plug-in Hybrid","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12685","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12685","$351,888","-","$140,755 (Maximum 60% loan)","$3,003 /mth","$2,384 /yr","-","-","$0","BMW X5 Plug-in Hybrid","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12685","2,998 cc","6-cylinder in-line TwinPower-Turbocharged","235 km/h","40 km/L","69 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12685&Subcode=7548","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","null","Yes","6-cylinder in-line TwinPower-Turbocharged"
"1601047765-464","https://www.sgcarmart.com/new_cars/index.php","BMW M Series","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=BMW+M+Series","BMW M Series M2 Coupe","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12018","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12018","null","null","null","null","null","null","null","null","BMW M Series M2 Coupe(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12018","2,979 cc","6-cylinder in-line 16-valve TwinScroll Turbocharger","250 km/h","12.6 km/L","52 L","Sports","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12018&Subcode=5548","Yes","Yes","Yes","Yes","No","Yes","Yes","null","Yes","276kW (370 bhp)"
"1601046584-389","https://www.sgcarmart.com/new_cars/index.php","Hyundai","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Hyundai","Hyundai Venue","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12603","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12603","$94,999","$8,700 /yr","$28,500 (Maximum 70% loan)","$946 /mth","$742 /yr","$15,110","$15,110","$0","Hyundai Venue","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12603","1,598 cc","4-cylinder in-line 16-valve DOHC","186 km/h","17.2 km/L","45 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12603&Subcode=7400","Yes","No","Yes","No","No","Yes","No","null","Yes","90kW (121 bhp)"
"1601044208-240","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz G-Class Diesel","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12544","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12544","null","null","null","null","null","null","null","null","Mercedes-Benz G-Class Diesel(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12544","2,925 cc","6-cylinder in-line 24-valve","200 km/h","8.9 km/L","100 L","SUV","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12544&Subcode=7171","Yes","Yes","Yes","Yes","Yes","No","No","null","Yes","210kW (282 bhp)"
"1601046178-358","https://www.sgcarmart.com/new_cars/index.php","Kia","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Kia","Kia K2500","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=11867","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=11867","$64,988","-","$6,499 (Maximum 90% loan)","$832 /mth","-","-","-","-","Kia K2500","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=11867","2,497 cc","4-cylinder D4CB Turbocharged","150 km/h","10.3 km/L","65 L","Commercial","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=11867&Subcode=5920","No","No","No","No","No","No","No","null","No","96kW (129 bhp)"
"1601044635-264","https://www.sgcarmart.com/new_cars/index.php","Mercedes-Benz","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=Mercedes-Benz","Mercedes-Benz X-Class Diesel","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12326","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12326","null","null","null","null","null","null","null","null","Mercedes-Benz X-Class Diesel(Parallel Imported)","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12326","2,298 cc","4-cylinder twin-turbo","175 km/h","15.3 km/L","80 L","Commercial","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12326&Subcode=7627","Yes","Yes","Yes","No","No","Yes","No","null","Yes","140kW (188 bhp)"
"1601041248-120","https://www.sgcarmart.com/new_cars/index.php","SEAT","https://www.sgcarmart.com/new_cars/newcars_listing.php?MOD=SEAT","SEAT Ibiza","https://www.sgcarmart.com/new_cars/newcars_overview.php?CarCode=12247","Pricing","https://www.sgcarmart.com/new_cars/newcars_pricing.php?CarCode=12247","$86,999","$7,800 /yr","$26,100 (Maximum 70% loan)","$866 /mth","$392 /yr","$17,442","$17,442","$0","SEAT Ibiza","Specs","https://www.sgcarmart.com/new_cars/newcars_specs.php?CarCode=12247","999 cc","3-cylinder 12-valve Turbocharged","193 km/h","21.2 km/L","40 L","Hatchback","Features","https://www.sgcarmart.com/new_cars/newcars_features.php?CarCode=12247&Subcode=6226","No","Yes","Yes","No","No","No","Yes","null","Yes","85kW (114 bhp)"
